kl: 17 , 17(1) ,17(1)
kl: 17 , 17(1) ,17(1)
kl: 18 , 2(17) ,54(7)
kl: 18 , 2(16) ,54(7)
kl: 18 , 2(16) ,54(7)
kl: 18 , 2(17) ,54(7)
kl: 18 , 2(15) ,54(7)
kl: 18 , 2(15) ,54(7)
kl: 18 , 2(16) ,54(7)
kl: 18 , 2(15) ,54(7)
kl: 18 , 2(16) ,54(7)
kl: 18 , 2(17) ,54(7)
kl: 19 , 19(1) ,38(2)
kl: 19 , 19(1) ,38(2)
kl: 19 , 19(1) ,38(2)
kl: 19 , 19(1) ,38(2)
kl: 19 , 19(1) ,38(2)
kl: 19 , 19(1) ,38(2)
kl: 19 , 19(1) ,38(2)
kl: 19 , 19(1) ,38(2)
kl: 19 , 19(1) ,38(2)
kl: 19 , 19(1) ,38(2)
kl: 20 , 2(18) ,20(1)
kl: 20 , 2(19) ,20(1)
kl: 20 , 2(18) ,20(1)
kl: 20 , 2(18) ,20(1)
kl: 20 , 2(19) ,20(1)
kl: 20 , 2(18) ,20(1)
kl: 20 , 2(19) ,20(1)
kl: 20 , 2(20) ,20(1)
kl: 20 , 2(14) ,20(1)
kl: 20 , 2(19) ,20(1)
kl: 21 , 3(19) ,42(4)
kl: 21 , 3(20) ,42(4)
kl: 21 , 3(18) ,42(4)
kl: 21 , 3(20) ,42(4)
kl: 21 , 3(16) ,42(4)
kl: 21 , 3(18) ,42(4)
kl: 21 , 3(19) ,42(4)
kl: 21 , 3(21) ,42(4)
kl: 21 , 3(20) ,42(4)
kl: 21 , 3(14) ,42(4)
kl: 22 , 2(21) ,22(0)
kl: 22 , 2(19) ,22(0)
kl: 22 , 2(20) ,22(0)
kl: 22 , 2(17) ,22(0)
kl: 22 , 2(21) ,22(0)
kl: 22 , 2(21) ,22(0)
kl: 22 , 2(20) ,22(0)
kl: 22 , 2(21) ,22(0)
kl: 22 , 2(18) ,22(0)
kl: 22 , 2(19) ,22(0)
kl: 23 , 23(0) ,46(6)
kl: 23 , 23(0) ,46(6)
