kl: 17 , 17(0) ,34(0)
kl: 17 , 17(0) ,34(0)
kl: 18 , 2(16) ,18(0)
kl: 18 , 2(15) ,18(0)
kl: 18 , 2(14) ,18(0)
kl: 18 , 2(16) ,18(0)
kl: 18 , 2(15) ,18(0)
kl: 18 , 2(16) ,18(0)
kl: 18 , 2(12) ,18(0)
kl: 18 , 2(17) ,18(0)
kl: 18 , 2(17) ,18(0)
kl: 18 , 2(18) ,18(0)
kl: 19 , 19(0) ,57(0)
kl: 19 , 19(0) ,57(0)
kl: 19 , 19(0) ,57(0)
kl: 19 , 19(0) ,57(0)
kl: 19 , 19(0) ,57(0)
kl: 19 , 19(0) ,57(0)
kl: 19 , 19(0) ,57(0)
kl: 19 , 19(0) ,57(0)
kl: 19 , 19(0) ,57(0)
kl: 19 , 19(0) ,57(0)
kl: 20 , 2(16) ,40(0)
kl: 20 , 2(20) ,40(0)
kl: 20 , 2(19) ,40(0)
kl: 20 , 2(18) ,40(0)
kl: 20 , 2(16) ,40(0)
kl: 20 , 2(20) ,40(0)
kl: 20 , 2(18) ,40(0)
kl: 20 , 2(20) ,40(0)
kl: 20 , 2(18) ,40(0)
kl: 20 , 2(17) ,40(0)
kl: 21 , 3(16) ,42(0)
kl: 21 , 3(19) ,42(0)
kl: 21 , 3(16) ,42(0)
kl: 21 , 3(19) ,42(0)
kl: 21 , 3(18) ,42(0)
kl: 21 , 3(18) ,42(0)
kl: 21 , 3(19) ,42(0)
kl: 21 , 3(20) ,42(0)
kl: 21 , 3(18) ,42(0)
kl: 21 , 3(19) ,42(0)
kl: 22 , 2(20) ,44(0)
kl: 22 , 2(19) ,44(0)
kl: 22 , 2(19) ,44(0)
kl: 22 , 2(20) ,44(0)
kl: 22 , 2(21) ,44(0)
kl: 22 , 2(20) ,44(0)
kl: 22 , 2(18) ,44(0)
kl: 22 , 2(20) ,44(0)
kl: 22 , 2(22) ,44(0)
kl: 22 , 2(21) ,44(0)
kl: 23 , 23(0) ,46(0)
kl: 23 , 23(0) ,46(0)
kl: 23 , 23(0) ,46(0)
kl: 23 , 23(0) ,46(0)
kl: 23 , 23(0) ,46(0)
kl: 23 , 23(0) ,46(0)
kl: 23 , 23(0) ,46(0)
kl: 23 , 23(0) ,46(0)
kl: 23 , 23(0) ,46(0)
