kl: 17 , 17(0) ,34(0)
kl: 17 , 17(0) ,34(0)
kl: 18 , 2(17) ,36(0)
kl: 18 , 2(17) ,36(0)
kl: 18 , 2(15) ,36(0)
kl: 18 , 2(16) ,36(0)
kl: 18 , 2(15) ,36(0)
kl: 18 , 2(17) ,36(0)
kl: 18 , 2(17) ,36(0)
kl: 18 , 2(16) ,36(0)
kl: 18 , 2(18) ,36(0)
kl: 18 , 2(16) ,36(0)
kl: 19 , 19(0) ,38(1)
kl: 19 , 19(0) ,38(1)
kl: 19 , 19(0) ,19(0)
kl: 19 , 19(0) ,38(1)
kl: 19 , 19(0) ,38(1)
kl: 19 , 19(0) ,38(1)
kl: 19 , 19(0) ,38(1)
kl: 19 , 19(0) ,38(1)
kl: 19 , 19(0) ,38(1)
kl: 19 , 19(0) ,38(1)
kl: 20 , 2(18) ,40(0)
kl: 20 , 2(19) ,40(0)
kl: 20 , 2(18) ,40(0)
kl: 20 , 2(19) ,40(0)
kl: 20 , 2(18) ,40(0)
kl: 20 , 2(19) ,40(0)
kl: 20 , 2(19) ,40(0)
kl: 20 , 2(18) ,40(0)
kl: 20 , 2(17) ,40(0)
kl: 20 , 2(18) ,40(0)
kl: 21 , 3(18) ,21(0)
kl: 21 , 3(15) ,21(0)
kl: 21 , 3(18) ,21(0)
kl: 21 , 3(18) ,21(0)
kl: 21 , 3(19) ,21(0)
kl: 21 , 3(19) ,21(0)
kl: 21 , 3(20) ,21(0)
kl: 21 , 3(17) ,21(0)
kl: 21 , 3(20) ,21(0)
kl: 21 , 3(17) ,21(0)
kl: 22 , 2(22) ,22(0)
kl: 22 , 2(20) ,22(0)
kl: 22 , 2(18) ,22(0)
kl: 22 , 2(20) ,22(0)
kl: 22 , 2(21) ,22(0)
kl: 22 , 2(22) ,22(0)
kl: 22 , 2(21) ,22(0)
kl: 22 , 2(18) ,22(0)
kl: 22 , 2(21) ,22(0)
kl: 22 , 2(19) ,22(0)
kl: 23 , 23(0) ,46(0)
kl: 23 , 23(0) ,46(0)
kl: 23 , 23(0) ,46(0)
kl: 23 , 23(0) ,46(0)
kl: 23 , 23(0) ,46(0)
kl: 23 , 23(0) ,46(0)
kl: 23 , 23(0) ,46(0)
kl: 23 , 23(0) ,46(0)
kl: 23 , 23(0) ,46(0)
